,inf,e,s,i
2024-08-30,5.194390989790607,3.5293954248366024,1.438090886844149,-0.3799999999999999
2024-08-31,5.184630651117348,3.4645419389978223,1.6226435688330958,-0.3799999999999999
2024-09-01,5.29568911426823,3.444688453159042,1.7305160410241374,0.9199999999999999
2024-09-02,5.312760251949575,3.433168300653593,1.832027262778663,0.9199999999999999
2024-09-03,5.2597361947283146,3.4499814814814833,1.882827671194212,0.9199999999999999
2024-09-04,5.308628497458355,3.435127995642702,1.798473906602962,0.9199999999999999
2024-09-05,5.374754823275386,3.2702745098039223,1.7033538003104751,0.9199999999999999
2024-09-06,5.455560600110132,3.1954210239651424,1.697395727718528,0.9199999999999999
2024-09-07,5.559365829734665,2.9715675381263633,1.709311872902422,0.9199999999999999
2024-09-08,5.63549893233935,2.949047385620913,1.8071001834489206,0.9199999999999999
2024-09-09,5.696907284656223,2.9418605664488027,1.9322197078798076,3.1900000000000004
2024-09-10,5.751293964716383,2.938507080610023,1.798499056098139,3.1900000000000004
